depth (cm),age (yr BP) 2.5%,age (yr BP) 50%,age (yr BP) 97.5%
282,342.8326453798182,364.4530583214795,382.27655310621276
283,344.42463235294156,366.42463235294167,384.42463235294167
284,346.4736842105266,368.4736842105268,386.4736842105265
285,348.1043661023892,370.11022044088224,388.11022044088213
286,349.91897283531455,371.94397283531447,389.94397283531447
287,351.5020752269782,373.5084306095984,391.5084306095984
288,353.60000000000014,375.6250000000001,393.6250000000003
289,355.34437086092737,377.93995909622174,395.3508284790367
290,357.31250000000006,380.3125000000001,397.57724957555223
291,358.69421487603324,382.69421487603313,399.6942148760334
292,363.0177006141576,386.02705410821727,403.22744387518986
293,365.041225165563,388.0662251655635,406.06622516556325
294,366.4027850610109,389.5532118887825,407.4139547637915
295,367.26929133858266,391.26929133858295,408.5350701402806
296,370.2368296529968,393.2618296529972,410.26182965299745
297,371.51872747074367,395.1605392156863,412.1605392156865
298,372.3658536585367,396.2573529411766,413.36585365853676
299,374.20088300220766,397.4790692767174,415.2008830022079
300,376.36555142913676,399.3707414829664,417.3707414829664
301,377.52866141732284,401.0803149606302,419.08031496063035
302,378.3823529411766,402.3823529411766,420.38235294117663
303,379.3904756433825,403.72406181015475,421.7240618101548
304,381.0238970588238,406.0238970588236,423.5042167936808
305,384.34250469490786,409.34899328859035,427.3489932885907
306,385.8557453416151,410.8807453416148,428.8807453416149
307,387.4998962802168,412.7686567164177,430.76865671641787
308,388.8838894603788,414.84576133827323,432.8203824626865
309,391.39664804469277,417.87150837988906,436.87150837988884
310,392.59208237803864,420.0373134328363,439.03731343283636
311,393.87182110019023,421.80657894736856,440.8065789473687
312,395.6731343283583,423.6731343283583,441.69813432835826
313,397.8309488272921,426.6094527363184,444.609452736319
314,399.98657718120825,428.98657718120813,446.9865771812084
315,401.1398601398603,429.61777501553775,448.13986013986016
316,402.29706790123464,430.984780662489,449.9577114427862
317,404.0446841284453,433.18089430894366,451.37929875918365
318,406.21577181208085,435.2348993288596,453.2449214143285
319,408.02996499443043,437.5203252032524,456.040650406505
320,410.89892573295697,440.9082774049218,458.9345047923328
321,412.4943099035507,443.21215351812384,461.4995357445396
322,414.11000252399265,444.46937573616026,464.15946961104066
323,415.18652219559635,445.30182926829343,464.7711027973676
324,416.352510818717,447.35283993115365,466.6197020169038
325,418.63917910447776,449.6641791044782,468.66417910447825
326,421.17438175617,452.44589552238835,471.4708955223886
327,422.11564075595186,454.3034825870651,473.6096699867915
328,423.62979020979077,456.31888111888134,475.63776223776256
329,425.20394736842127,458.20394736842127,477.4256873375576
330,426.73232797985617,459.73694029850776,478.90577062603666
331,429.47233231707344,463.01829268292687,482.52187500000014
332,431.0996442161344,465.27777777778,484.9414938933574
333,432.76235198586653,467.77265500794977,488.772655007949
334,433.5679513103129,469.1806282722518,489.59295131031274
335,434.9355396346559,470.8329621380854,490.8579621380854
336,437.8440594059412,473.8440594059412,494.84405940594064
337,439.7255343276609,475.7325905292482,496.7325905292484
338,441.86538075793413,478.2592592592595,499.5185185185185
339,444.8781072611334,481.21997296751476,502.3437673748431
340,446.97284756294647,483.9554455445555,504.9554455445555
341,448.2138442521635,485.42768850432697,506.2138442521636
342,449.0778942863258,486.0778942863258,507.0778942863258
343,449.29188957842933,486.2918895784294,507.29188957842933
344,449.5058848705329,486.50588487053295,507.50588487053295
345,449.71988016263646,486.7198801626365,507.7198801626365
346,449.93387545474,486.9338754547401,507.9338754547401
347,452.037861915368,489.03786191536807,510.037861915368
348,454.45682451253526,491.4568245125354,512.2490134805695
349,457.0734951613772,494.1614100185532,514.1614100185537
350,459.2038216560526,496.8273580542775,517.2038216560511
351,461.94877505567985,498.96158129176035,519.9487750556793
352,463.48720800889913,500.48720800889936,520.6992471014479
353,464.8474919553153,501.8569157392697,521.8594043116805
354,466.4209482425906,503.4991440690809,523.4411452810184
355,468.01315580286206,505.03815580286243,525.0381558028624
356,469.56105341246337,506.5860534124636,526.5860534124635
357,471.48845040764223,508.8830083565472,528.883008356547
358,474.5518518518531,512.5518518518527,532.5518518518533
359,478.2737012987018,515.1558567279773,535.2987012987021
360,480.4575756253648,516.8525784235337,537.4740740740755
361,482.529655870446,518.5546558704464,538.8148868049249
362,484.7729452054801,520.7979452054801,540.7979452054802
363,487.41574074074197,523.4407407407425,543.4407407407424
364,490.14908906882664,526.1740890688266,546.1740890688267
365,492.11045831003673,528.2448630136992,548.2448630136993
366,493.07611241217865,530.0761124121782,550.0761124121782
367,495.32714968153124,531.6719745222933,551.352149681532
368,498.4117249602548,533.5772833723659,553.4298533879667
369,500.35473334646684,535.3736089030217,555.3736089030212
370,502.31197771587813,537.311977715879,557.3119777158786
371,505.28385177330114,540.2962962962979,560.2962962962981
372,509.1987330037086,544.2237330037087,563.3837233628317
373,510.5812003179654,545.5914149443568,564.597161559622
374,512.9554565701565,547.9554565701567,566.9554565701573
375,513.7790143084263,548.7790143084263,567.7790143084266
376,515.0051369863019,550.005136986302,569.0051369863022
